analysis,localization,n_gene_cancer_pairs,n_gene_clusters,coefficient,standard_error,odds_ratio,ci_low,ci_high,pvalue,fdr
hpa_negative_among_cptac_quantified,loc_Cytoplasmic_bodies,23076,7350,0.06096381077656738,0.27387024136521826,1.0628604493969132,0.6213741625536177,1.818022703502304,0.823845997898808,0.9641493197207585
hpa_negative_among_cptac_quantified,loc_Cytosol,23076,7350,-0.0782449654407445,0.04245111108321735,0.9247378699755158,0.850909804945516,1.0049715295284543,0.06530298664098606,0.26121194656394425
hpa_negative_among_cptac_quantified,loc_End_piece,23076,7350,-0.17191026209808793,0.20057113875492696,0.8420547340032384,0.5683432700890925,1.247584360321737,0.3913875849119446,0.6523126415199076
hpa_negative_among_cptac_quantified,loc_Endoplasmic_reticulum,23076,7350,0.041695590846296225,0.09505337175197401,1.0425770604400553,0.8653605675660387,1.2560855759964775,0.6609118884153562,0.8840116996987974
hpa_negative_among_cptac_quantified,loc_Equatorial_segment,23076,7350,-0.43280058299615765,0.3295396441300061,0.648689838691618,0.3400378699083846,1.2375048312563888,0.1890653529097197,0.420145228688266
hpa_negative_among_cptac_quantified,loc_Flagellar_centriole,23076,7350,-0.10830876731998405,0.24384087823651338,0.8973504811474146,0.5564172098679895,1.4471836451761437,0.6569138560716983,0.8840116996987974
hpa_negative_among_cptac_quantified,loc_Focal_adhesion_sites,23076,7350,0.19804402522342446,0.19428160006874878,1.2190160600947029,0.8329781139655271,1.783960622560019,0.30802932021335827,0.5595883087908052
hpa_negative_among_cptac_quantified,loc_Golgi_apparatus,23076,7350,0.0351424356227766,0.0709553774658793,1.0357672284435826,0.9012882914765075,1.1903114260590215,0.6204059056270201,0.8840116996987974
hpa_negative_among_cptac_quantified,loc_Intermediate_filaments,23076,7350,0.3594424249667723,0.20885769766572168,1.4325304486268182,0.951306798310596,2.1571836655507015,0.08525227720390663,0.28417425734635543
hpa_negative_among_cptac_quantified,loc_Microtubules,23076,7350,0.0210947023668252,0.1261756855111784,1.0213187683624518,0.7975508845860019,1.307868935724209,0.8672243594591215,0.9641493197207585
hpa_negative_among_cptac_quantified,loc_Mid_piece,23076,7350,-0.05522883217950952,0.1542288993389819,0.9462685864732671,0.6994104767190495,1.2802556832528023,0.7202710830419259,0.8840116996987974
hpa_negative_among_cptac_quantified,loc_Midbody,23076,7350,0.5852369387083882,0.30141675769496606,1.7954163388749391,0.994475410609632,3.2414273852412423,0.05218306616031071,0.23192473849026982
hpa_negative_among_cptac_quantified,loc_Mitochondria,23076,7350,-0.44871462000968315,0.07476012705468996,0.6384482730600567,0.5514277423793312,0.7392014692887297,1.9483205265044822e-09,1.948320526504482e-08
hpa_negative_among_cptac_quantified,loc_Mitotic_chromosome,23076,7350,0.011448819770541215,0.26101356325994224,1.0115146083350317,0.6064471072454339,1.6871410394263637,0.9650136640647587,0.9769380034681228
hpa_negative_among_cptac_quantified,loc_Mitotic_spindle,23076,7350,0.26508557185656817,0.19195074617115662,1.3035425175592252,0.8948153537608807,1.8989650635104347,0.16727641153570338,0.3935915565545962
hpa_negative_among_cptac_quantified,loc_Nuclear_bodies,23076,7350,-0.11380742210728313,0.10541770597659009,0.8924298015856226,0.7258396721376843,1.097254643594459,0.28032682114116947,0.5339558497927037
hpa_negative_among_cptac_quantified,loc_Nuclear_membrane,23076,7350,0.01923546833091187,0.1414594238339835,1.0194216618757557,0.7725759156259735,1.3451370974456374,0.8918381207417017,0.9641493197207585
hpa_negative_among_cptac_quantified,loc_Nuclear_speckles,23076,7350,-0.7244139064340982,0.12995492254239802,0.48460851166940627,0.3756394314424418,0.6251883852572112,2.4845924581135278e-08,1.9876739664908222e-07
hpa_negative_among_cptac_quantified,loc_Nucleoli,23076,7350,-0.08518458000726399,0.07706707826686965,0.9183427610431232,0.7895942655133465,1.0680845385978193,0.2690164748784316,0.5339558497927037
hpa_negative_among_cptac_quantified,loc_Nucleoli_fibrillar_center,23076,7350,-0.14729509716322894,0.14865665932771852,0.863039259397682,0.6448986221856798,1.154967211338289,0.321763277554713,0.5595883087908052
hpa_negative_among_cptac_quantified,loc_Nucleoli_rim,23076,7350,0.07612363694877286,0.1888678422964658,1.079095982044695,0.7452337630213841,1.5625273521478806,0.6869096773155348,0.8840116996987974
hpa_negative_among_cptac_quantified,loc_Nucleoplasm,23076,7350,-0.3246544086533321,0.042724143791796225,0.7227770959951342,0.6647171079027376,0.785908357531846,2.9877121671957925e-14,3.9836162229277236e-13
hpa_negative_among_cptac_quantified,loc_Perinuclear_theca,23076,7350,0.008294379585267892,0.28692380476116813,1.008328873253525,0.5746027895118325,1.7694434054183894,0.9769380034681228,0.9769380034681228
hpa_negative_among_cptac_quantified,loc_Plasma_membrane,23076,7350,0.49582536888006373,0.05433509793377271,1.6418528141865414,1.475989447747065,1.8263549699267325,7.15220507574311e-20,1.430441015148622e-18
hpa_negative_among_cptac_quantified,loc_Predicted_to_be_secreted,23076,7350,1.3921331374959862,0.09583731662256545,4.023423421018474,3.334397478457324,4.854830934040122,8.291978050158735e-48,3.3167912200634936e-46
hpa_negative_among_cptac_quantified,loc_Primary_cilium,23076,7350,0.16271221273775308,0.1119938445526578,1.176698002259279,0.9447870483107558,1.4655346842408816,0.14626055654758816,0.36565139136897035
hpa_negative_among_cptac_quantified,loc_Primary_cilium_tip,23076,7350,0.031132497830647043,0.20859969191508287,1.0316221825327436,0.6854204054970527,1.5526884215270091,0.8813601734831171,0.9641493197207585
hpa_negative_among_cptac_quantified,loc_Primary_cilium_transition_zone,23076,7350,0.37278122631459465,0.2536338024596795,1.451766696737473,0.8830786363041024,2.3866804779435724,0.14162632942779954,0.36565139136897035
hpa_negative_among_cptac_quantified,loc_Principal_piece,23076,7350,-0.06847489797966326,0.1419002283062982,0.9338169005001481,0.7070885697586143,1.23324579261321,0.6294105696947038,0.8840116996987974
hpa_negative_among_cptac_quantified,loc_Vesicles,23076,7350,0.29461627271206037,0.054787721944647066,1.3426110633240667,1.2059074302639434,1.4948116431836194,7.556321189764964e-08,5.03754745984331e-07
cptac_quantified_among_hpa_negative,loc_Acrosome,10088,4786,0.10727886022077605,0.33423353851461723,1.1132446508478273,0.5782095832425493,2.1433640820882585,0.7482333038538148,0.8919132521104026
cptac_quantified_among_hpa_negative,loc_Actin_filaments,10088,4786,0.5760227054785609,0.20631002301922502,1.7789489377308898,1.1872682266995491,2.665496517034909,0.005237933768333804,0.029931050104764597
cptac_quantified_among_hpa_negative,loc_Annulus,10088,4786,0.8607023674354399,0.5114234197602515,2.3648210838554924,0.8678923998653367,6.443631444998466,0.09238389167098203,0.2535979749954252
cptac_quantified_among_hpa_negative,loc_Basal_body,10088,4786,-0.038149358361557646,0.13910323899579938,0.9625691624012248,0.7328665110880007,1.264267609977527,0.7838908760391006,0.8919132521104026
cptac_quantified_among_hpa_negative,loc_Calyx,10088,4786,0.6696366113065171,0.4011982549836288,1.9535273019034411,0.889841458659819,4.2887065804169,0.09509924062328444,0.2535979749954252
cptac_quantified_among_hpa_negative,loc_Cell_Junctions,10088,4786,0.0381276579182669,0.1474050678413322,1.0388638436095508,0.7781886721214952,1.386859156683679,0.7958983015938922,0.8919132521104026
cptac_quantified_among_hpa_negative,loc_Centriolar_satellite,10088,4786,-0.11825824168295045,0.21120408178617886,0.88846658388083,0.5873007484965919,1.344069239982337,0.5755312538843389,0.7980267065387437
cptac_quantified_among_hpa_negative,loc_Centrosome,10088,4786,-0.08632045263843885,0.13673882474388405,0.917300232836535,0.7016444048186077,1.1992395455351692,0.5278576176895415,0.7820112854659874
cptac_quantified_among_hpa_negative,loc_Connecting_piece,10088,4786,0.21242060260848353,0.3824120883672872,1.2366679214601017,0.5844365311174355,2.6167897907482858,0.5785693622405892,0.7980267065387437
cptac_quantified_among_hpa_negative,loc_Cytokinetic_bridge,10088,4786,-0.4199962147027547,0.1996790681006207,0.6570493069372811,0.4442502771087561,0.9717805795337171,0.03543464030926558,0.14173856123706233
cptac_quantified_among_hpa_negative,loc_Cytoplasmic_bodies,10088,4786,0.4434439928546518,0.45112814127457035,1.5580639500551154,0.6435425289705361,3.7721877936252026,0.32562377077642823,0.5920432195935058
cptac_quantified_among_hpa_negative,loc_Cytosol,10088,4786,0.3386867749774722,0.05707534650673763,1.403103789160374,1.254602884509078,1.569181983768948,2.9558915574288933e-09,1.1823566229715572e-07
cptac_quantified_among_hpa_negative,loc_End_piece,10088,4786,0.04606076534931821,0.2662098781424445,1.0471380387324436,0.6214433045218017,1.7644378243067236,0.8626323638663455,0.9193483660939974
cptac_quantified_among_hpa_negative,loc_Endoplasmic_reticulum,10088,4786,0.4559853585742759,0.1398415747716974,1.5777272444211052,1.1994892869824425,2.0752359231575612,0.0011112652844008737,0.008674291381793807
cptac_quantified_among_hpa_negative,loc_Equatorial_segment,10088,4786,-0.39613309166668326,0.3823082189236796,0.6729171303148863,0.31807845882878694,1.4236030504503956,0.30012676312094366,0.5920432195935058
