"X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"GPR137",7.36161973953712e-43,1.92516292537865,0.279,0.085,1.74367325150676e-38,3,"GPR137"
"SPHK1",7.40536764529865e-43,1.79780193123561,0.255,0.07,1.75403538046544e-38,3,"SPHK1"
"DDR2",8.01364918063218e-43,1.73019364268659,0.343,0.121,1.89811294492454e-38,3,"DDR2"
"MYO18A",8.70187446561457e-43,0.906405817856961,0.54,0.247,2.06112598592547e-38,3,"MYO18A"
"FRMD8",8.88647098862392e-43,1.05413645781871,0.737,0.545,2.10484951836546e-38,3,"FRMD8"
"TMEM43",9.37485967172034e-43,0.844376582106127,0.657,0.335,2.22052926184368e-38,3,"TMEM43"
"KLHL22",1.02608388225618e-42,1.33316168947065,0.388,0.146,2.43038228351199e-38,3,"KLHL22"
"NME4",1.1283438902084e-42,1.20568139129975,0.48,0.209,2.67259533834762e-38,3,"NME4"
"SUPT6H",1.19584124177123e-42,0.820695851688052,0.643,0.332,2.83246956525934e-38,3,"SUPT6H"
"PRNP",1.21214068875389e-42,0.713130412379313,0.755,0.378,2.87107643538247e-38,3,"PRNP"
"LOC100132352",1.27627122770428e-42,0.696171648451846,0.791,0.44,3.02297602994035e-38,3,"LOC100132352"
"COA5",1.30862145166068e-42,1.06435076739984,0.52,0.234,3.09960077040348e-38,3,"COA5"
"FAM162A",1.31733906871809e-42,0.847394974193315,0.631,0.297,3.12024931816568e-38,3,"FAM162A"
"CBX1",1.35108295914176e-42,0.953416371759637,0.586,0.284,3.20017509702317e-38,3,"CBX1"
"ARHGEF111",1.41407556061881e-42,1.98472837075132,0.349,0.129,3.34937937288171e-38,3,"ARHGEF11"
"FAM200B",1.76633925220373e-42,0.972458279199382,0.558,0.279,4.18375115276975e-38,3,"FAM200B"
"CTDSPL",1.94964235087158e-42,1.63291776213909,0.369,0.137,4.61792287227443e-38,3,"CTDSPL"
"LEF11",1.97095356133103e-42,0.599685271000222,0.602,0.268,4.66840060536868e-38,3,"LEF1"
"TMEM141",2.71067654295471e-42,1.27391537222372,0.436,0.18,6.42050845964252e-38,3,"TMEM141"
"SF3B5",2.71433100962407e-42,0.803513408077837,0.715,0.371,6.42916442939557e-38,3,"SF3B5"
"CTDSP2",2.91612729588984e-42,0.789616140367601,0.61,0.293,6.90713911304468e-38,3,"CTDSP2"
"FER",3.16505370289077e-42,1.34027686000765,0.414,0.166,7.49674620066708e-38,3,"FER"
"CDIPT",3.23863449017779e-42,1.26219567169581,0.398,0.151,7.67102965343512e-38,3,"CDIPT"
