cancer,feature,p_discordant,p_concordant,enrichment_ratio,n_discordant,n_concordant
ALL,loc_Flagellar_centriole,0.005933363760839799,0.008234126984126984,0.7205820085453635,6573,20160
ALL,loc_Cytokinetic_bridge,0.009280389472082764,0.013640873015873016,0.6803369154806855,6573,20160
ALL,loc_End_piece,0.008976114407424312,0.013740079365079365,0.6532796622876322,6573,20160
ALL,loc_Mid_piece,0.012323140118667275,0.019444444444444445,0.6337614918171741,6573,20160
ALL,loc_Mitochondria,0.06678837669253004,0.12916666666666668,0.517071303426039,6573,20160
ALL,loc_Nuclear_speckles,0.016126578426897915,0.03754960317460317,0.42947400407696434,6573,20160
ALL,loc_Connecting_piece,0.0030427506465845124,0.007738095238095238,0.393217006635537,6573,20160
ALL,loc_Calyx,0.00243420051726761,0.006944444444444444,0.35052487448653585,6573,20160
ALL,loc_Acrosome,0.001977787920279933,0.006299603174603175,0.31395436592790116,6573,20160
ALL,loc_Equatorial_segment,0.001217100258633805,0.005704365079365079,0.21336296707876096,6573,20160
BRCA,loc_Predicted_to_be_secreted,0.08928571428571429,0.02372322899505766,3.763640873015873,784,3035
BRCA,loc_Actin_filaments,0.026785714285714284,0.013838550247116969,1.9355867346938773,784,3035
BRCA,loc_Midbody,0.003826530612244898,0.0026359143327841844,1.4516900510204083,784,3035
BRCA,loc_Focal_adhesion_sites,0.011479591836734694,0.008237232289950576,1.3936224489795919,784,3035
BRCA,loc_Mitotic_chromosome,0.007653061224489796,0.005930807248764415,1.290391156462585,784,3035
BRCA,loc_Primary_cilium,0.03443877551020408,0.026688632619439868,1.290391156462585,784,3035
BRCA,loc_Vesicles,0.15306122448979592,0.12026359143327842,1.2727145652781662,784,3035
BRCA,loc_Plasma_membrane,0.1377551020408163,0.11334431630971993,1.2153684148077835,784,3035
BRCA,loc_Cytoplasmic_bodies,0.00510204081632653,0.0042833607907743,1.1911302982731553,784,3035
BRCA,loc_Perinuclear_theca,0.006377551020408163,0.005601317957166392,1.1385804321728692,784,3035
BRCA,loc_Basal_body,0.029336734693877552,0.026029654036243823,1.127050503745802,784,3035
BRCA,loc_Nucleoli_rim,0.01403061224489796,0.012520593080724876,1.1206028464017186,784,3035
BRCA,loc_Intermediate_filaments,0.006377551020408163,0.005930807248764415,1.0753259637188208,784,3035
BRCA,loc_Microtubules,0.02040816326530612,0.019769357495881382,1.032312925170068,784,3035
BRCA,loc_Primary_cilium_tip,0.007653061224489796,0.007578253706754531,1.0098713398402839,784,3035
BRCA,loc_Cell_Junctions,0.017857142857142856,0.017792421746293245,1.003637566137566,784,3035
BRCA,loc_Nucleoli,0.07015306122448979,0.071499176276771,0.9811729991535784,784,3035
BRCA,loc_Primary_cilium_transition_zone,0.003826530612244898,0.003953871499176277,0.9677933673469387,784,3035
BRCA,loc_Golgi_apparatus,0.08035714285714286,0.08336079077429984,0.9639680971202711,784,3035
BRCA,loc_Nuclear_membrane,0.017857142857142856,0.019110378912685338,0.9344211822660098,784,3035
BRCA,loc_Mitotic_spindle,0.006377551020408163,0.007248764415156508,0.8798121521335807,784,3035
BRCA,loc_Endoplasmic_reticulum,0.05357142857142857,0.06326194398682043,0.8468191964285713,784,3035
BRCA,loc_Cytosol,0.3112244897959184,0.3766062602965404,0.8263922366847002,784,3035
BRCA,loc_End_piece,0.011479591836734694,0.014497528830313015,0.7918309369202227,784,3035
BRCA,loc_Nucleoplasm,0.29336734693877553,0.399670510708402,0.7340229991419487,784,3035
BRCA,loc_Cytokinetic_bridge,0.008928571428571428,0.012850082372322899,0.6948260073260073,784,3035
BRCA,loc_Principal_piece,0.017857142857142856,0.026029654036243823,0.6860307414104881,784,3035
BRCA,loc_Mid_piece,0.012755102040816327,0.019769357495881382,0.6451955782312926,784,3035
BRCA,loc_Centrosome,0.017857142857142856,0.027677100494233938,0.6451955782312925,784,3035
BRCA,loc_Nucleoli_fibrillar_center,0.011479591836734694,0.018451400329489293,0.6221528790087464,784,3035
BRCA,loc_Nuclear_bodies,0.02040816326530612,0.034925864909390446,0.5843280708509818,784,3035
BRCA,loc_Flagellar_centriole,0.003826530612244898,0.008237232289950576,0.4645408163265306,784,3035
BRCA,loc_Centriolar_satellite,0.00510204081632653,0.01186161449752883,0.4301303854875283,784,3035
BRCA,loc_Acrosome,0.002551020408163265,0.006260296540362438,0.4074919441460795,784,3035
BRCA,loc_Mitochondria,0.05102040816326531,0.1258649093904448,0.405358478469922,784,3035
BRCA,loc_Nuclear_speckles,0.015306122448979591,0.040527182866556835,0.37767546042807365,784,3035
