cancer,feature,n_disc_with,n_disc_total,n_conc_with,n_conc_total,oddsratio,pvalue,p_adj,significant
COAD,loc_Mitotic_chromosome,4,662,23,3157,0.8283335535879477,1.0,1.0,False
COAD,loc_Mitotic_spindle,4,662,22,3157,0.8662613981762918,1.0,1.0,False
COAD,loc_Perinuclear_theca,3,662,18,3157,0.7938796155791603,1.0,1.0,False
COAD,loc_Primary_cilium_transition_zone,2,662,14,3157,0.6803030303030303,1.0,1.0,False
GBM,loc_Nucleoplasm,414,1406,990,2413,0.5998717008797654,6.969586419308935e-13,2.787834567723574e-11,True
GBM,loc_Nuclear_speckles,18,1406,104,2413,0.2879211926402128,5.6029224364183077e-08,1.1205844872836615e-06,True
GBM,loc_Predicted_to_be_secreted,76,1406,57,2413,2.361904761904762,1.4436895560476654e-06,1.924919408063554e-05,True
GBM,loc_Mitochondria,127,1406,303,2413,0.6914694596903005,0.0008196002266175166,0.008196002266175166,True
GBM,loc_Equatorial_segment,1,1406,17,2413,0.10031400460540088,0.005308122970983883,0.04246498376787106,True
GBM,loc_Acrosome,2,1406,19,2413,0.1794871794871795,0.010561824998304242,0.07041216665536162,False
GBM,loc_Calyx,3,1406,20,2413,0.25584461867426944,0.016684918470643118,0.09534239126081782,False
GBM,loc_Plasma_membrane,190,1406,265,2413,1.2665094339622642,0.022610343531873058,0.11305171765936528,False
GBM,loc_Vesicles,197,1406,280,2413,1.241288550159518,0.033004398861097614,0.14668621716043384,False
GBM,loc_Cytosol,478,1406,901,2413,0.8643844004745684,0.039356994604367236,0.15742797841746894,False
GBM,loc_Connecting_piece,4,1406,18,2413,0.37961642098589315,0.07791580044137619,0.2833301834231861,False
GBM,loc_Golgi_apparatus,126,1406,179,2413,1.2285439944134078,0.09478059487227221,0.31593531624090737,False
GBM,loc_Mid_piece,19,1406,51,2413,0.6344345957561106,0.10382283213706459,0.3194548681140449,False
GBM,loc_End_piece,16,1406,43,2413,0.6344319892922871,0.135130008251907,0.3860857378625914,False
GBM,loc_Nuclear_bodies,34,1406,78,2413,0.7418516857292368,0.16434535266971845,0.43030688789951616,False
GBM,loc_Principal_piece,30,1406,70,2413,0.7297549833887044,0.17212275515980646,0.43030688789951616,False
GBM,loc_Primary_cilium,38,1406,85,2413,0.7607843137254902,0.18368527322817546,0.4322006428898246,False
GBM,loc_Nucleoli_fibrillar_center,21,1406,51,2413,0.7022297727755362,0.21700759346381096,0.4822390965862466,False
GBM,loc_Intermediate_filaments,10,1406,10,2413,1.7213467048710602,0.24809928941585724,0.5223142935070679,False
GBM,loc_Microtubules,27,1406,59,2413,0.7811850886788511,0.3108882058848359,0.6217764117696718,False
GBM,loc_Cytokinetic_bridge,19,1406,43,2413,0.7550175215036636,0.35387944894693,0.6374228912477219,False
GBM,loc_Focal_adhesion_sites,11,1406,27,2413,0.6968272932430638,0.39838930702982617,0.6374228912477219,False
GBM,loc_Nuclear_membrane,29,1406,40,2413,1.249400871459695,0.3793607049809694,0.6374228912477219,False
GBM,loc_Nucleoli,92,1406,177,2413,0.8844860648900584,0.3940733415515074,0.6374228912477219,False
GBM,loc_Perinuclear_theca,6,1406,16,2413,0.6420535714285714,0.38667127463655093,0.6374228912477219,False
GBM,loc_Basal_body,36,1406,74,2413,0.8305780232787532,0.422436559442264,0.6419425399512689,False
GBM,loc_Cell_Junctions,28,1406,40,2413,1.2054426705370103,0.4493597779658882,0.6419425399512689,False
GBM,loc_Nucleoli_rim,14,1406,32,2413,0.7483387212643678,0.4426671229476134,0.6419425399512689,False
GBM,loc_Actin_filaments,27,1406,39,2413,1.1918335471634964,0.5204551610142222,0.7178691876058237,False
GBM,loc_Annulus,6,1406,7,2413,1.4730612244897958,0.5674222651630985,0.7565630202174646,False
GBM,loc_Primary_cilium_tip,13,1406,27,2413,0.8247055382733774,0.6243068034146528,0.8055571656963262,False
GBM,loc_Flagellar_centriole,11,1406,22,2413,0.8569892473118279,0.7213292491887062,0.9016615614858827,False
