gene,cancer,protein_detected,detected_fraction,total_patients,rna_log2fc,tumor_log2tpm_mean,normal_log2tpm_mean,gene_length,gene_type,protein_coding,high_rna,discordant
MRPS33,BRCA,0,0.0,12,1.013232707977295,6.353128910064697,5.339896202087402,12619.0,protein_coding,1.0,True,True
NDUFB2,BRCA,0,0.4,10,0.82598876953125,7.982945919036865,7.156957149505615,32014.0,protein_coding,1.0,True,True
LYZ,BRCA,0,0.0,11,2.4029440879821777,6.501681327819824,4.098737239837647,5894.0,protein_coding,1.0,True,True
SPG21,BRCA,0,0.3333333333333333,12,0.6331009864807129,6.375340938568115,5.742239952087402,27290.0,protein_coding,1.0,True,True
LAMB1,BRCA,0,0.0833333333333333,12,-1.6228141784667969,5.6494245529174805,7.272238731384277,79457.0,protein_coding,1.0,True,True
CMTM6,BRCA,0,0.3333333333333333,9,1.2744240760803225,5.435671329498291,4.161247253417969,22097.0,protein_coding,1.0,True,True
CCDC80,BRCA,0,0.3333333333333333,12,-0.807370662689209,6.045607566833496,6.852978229522705,52737.0,protein_coding,1.0,True,True
SLC7A8,BRCA,0,0.0,11,0.2463593482971191,5.18098783493042,4.934628486633301,58380.0,protein_coding,1.0,True,True
NUBP2,BRCA,0,0.125,8,0.2981743812561035,5.725495338439941,5.427320957183838,6291.0,protein_coding,1.0,True,True
DSP,BRCA,0,0.0,12,3.0900213718414307,6.333063125610352,3.243041753768921,45143.0,protein_coding,1.0,True,True
TSPAN15,BRCA,0,0.5,12,0.5321087837219238,6.312722682952881,5.780613899230957,56197.0,protein_coding,1.0,True,True
TECR,BRCA,0,0.1111111111111111,9,0.5663537979125977,7.54208517074585,6.975731372833252,48896.0,protein_coding,1.0,True,True
BCL2L13,BRCA,0,0.0,12,0.3379130363464355,4.850763320922852,4.512850284576416,102001.0,protein_coding,1.0,True,True
PES1,BRCA,0,0.3333333333333333,12,0.4632825851440429,5.642001628875732,5.1787190437316895,30459.0,protein_coding,1.0,True,True
LGALS1,BRCA,0,0.5,10,-0.5200891494750977,9.692682266235352,10.21277141571045,4199.0,protein_coding,1.0,True,True
SNU13,BRCA,0,0.3333333333333333,12,0.6210732460021973,6.888911247253418,6.267838001251221,,,,True,True
KDELR3,BRCA,0,0.0,10,1.800668716430664,4.753396034240723,2.9527273178100586,15386.0,protein_coding,1.0,True,True
