gene,location_raw,location
KCTD16,Mid piece,Mid_piece
KCTD16,Principal piece,Principal_piece
KCTD16,Vesicles,Vesicles
SLC35F3,Golgi apparatus,Golgi_apparatus
SLC35F3,Nucleoli,Nucleoli
KCTD8,Cytoplasmic bodies,Cytoplasmic_bodies
TUBA8,Microtubules,Microtubules
NPIPA5,Nucleoplasm,Nucleoplasm
EMILIN3,Golgi apparatus,Golgi_apparatus
EMILIN3,Predicted to be secreted,Predicted_to_be_secreted
RBM12B,Nucleoplasm,Nucleoplasm
CCR4,Plasma membrane,Plasma_membrane
LIN9,Nucleoplasm,Nucleoplasm
BTBD9,Nucleoplasm,Nucleoplasm
NUDT14,Microtubules,Microtubules
NUDT14,Nucleoli,Nucleoli
ANKRD45,Cytosol,Cytosol
ANKRD45,Centrosome,Centrosome
ANKRD45,Plasma membrane,Plasma_membrane
FAM3B,Vesicles,Vesicles
FAM3B,Predicted to be secreted,Predicted_to_be_secreted
IQGAP3,Nucleoli rim,Nucleoli_rim
IQGAP3,Mitotic chromosome,Mitotic_chromosome
IQGAP3,Nucleoplasm,Nucleoplasm
TOB2,Cytosol,Cytosol
SCN5A,Plasma membrane,Plasma_membrane
SCN5A,Nucleoli,Nucleoli
SCN5A,Nucleoplasm,Nucleoplasm
ARSI,Golgi apparatus,Golgi_apparatus
ARSI,Vesicles,Vesicles
ARSI,Predicted to be secreted,Predicted_to_be_secreted
UTY,Nucleoplasm,Nucleoplasm
UTY,Nucleoli,Nucleoli
UTY,Nucleoli rim,Nucleoli_rim
SRARP,Nucleoplasm,Nucleoplasm
NPIPA9,Nucleoplasm,Nucleoplasm
TTC32,Mitochondria,Mitochondria
TTC32,Nucleoplasm,Nucleoplasm
DNAH2,End piece,End_piece
DNAH2,Flagellar centriole,Flagellar_centriole
DNAH2,Microtubules,Microtubules
DNAH2,Primary cilium,Primary_cilium
DNAH2,Basal body,Basal_body
DNAH2,Cytokinetic bridge,Cytokinetic_bridge
DNAH2,Mitotic spindle,Mitotic_spindle
SH2D1A,Cytosol,Cytosol
PRKX,Nucleoplasm,Nucleoplasm
KMT5A,Nucleoplasm,Nucleoplasm
KMT5A,Cytosol,Cytosol
KCNH8,Plasma membrane,Plasma_membrane
SMTN,Nucleoplasm,Nucleoplasm
SMTN,Actin filaments,Actin_filaments
PP2D1,Nucleoplasm,Nucleoplasm
PP2D1,Intermediate filaments,Intermediate_filaments
COA3,Mitochondria,Mitochondria
ST6GALNAC3,Nucleoplasm,Nucleoplasm
TMPRSS2,Plasma membrane,Plasma_membrane
TMPRSS2,Predicted to be secreted,Predicted_to_be_secreted
DENND5A,Golgi apparatus,Golgi_apparatus
DENND5A,Vesicles,Vesicles
CTAG1B,Golgi apparatus,Golgi_apparatus
CTAG1B,Vesicles,Vesicles
DIABLO,Mitochondria,Mitochondria
DIABLO,Cytosol,Cytosol
DIABLO,End piece,End_piece
DIABLO,Flagellar centriole,Flagellar_centriole
DIABLO,Mid piece,Mid_piece
DIABLO,Principal piece,Principal_piece
TBX1,Cytoplasmic bodies,Cytoplasmic_bodies
TBX1,Nuclear bodies,Nuclear_bodies
FAM120C,Nuclear membrane,Nuclear_membrane
FAM120C,Endoplasmic reticulum,Endoplasmic_reticulum
EIF3C,Cytosol,Cytosol
SPRR4,Cytosol,Cytosol
SPRR4,Nucleoplasm,Nucleoplasm
SPRR4,Nuclear membrane,Nuclear_membrane
LRRC51,Microtubules,Microtubules
NR2C2AP,Nucleoplasm,Nucleoplasm
C1QTNF12,Vesicles,Vesicles
C1QTNF12,Predicted to be secreted,Predicted_to_be_secreted
SCFD2,Nucleoplasm,Nucleoplasm
UBE2F,Cytosol,Cytosol
KCNJ12,Golgi apparatus,Golgi_apparatus
KCNJ12,Cytosol,Cytosol
KCNJ12,Nucleoplasm,Nucleoplasm
GPR173,Cytosol,Cytosol
GPR173,Plasma membrane,Plasma_membrane
PPP1R2,Nucleoplasm,Nucleoplasm
PPP1R2,Cytosol,Cytosol
PGP,Nuclear bodies,Nuclear_bodies
SNRNP35,Nucleoli,Nucleoli
IRAK1,Cytosol,Cytosol
IRAK1,Nucleoplasm,Nucleoplasm
CMSS1,Nucleoli,Nucleoli
CMSS1,Mitochondria,Mitochondria
CMSS1,Nuclear membrane,Nuclear_membrane
CMSS1,Nucleoplasm,Nucleoplasm
PCDH9,Centrosome,Centrosome
PCDH9,Nucleoplasm,Nucleoplasm
ACOT1,Mitochondria,Mitochondria
OAF,Nucleoplasm,Nucleoplasm
OAF,Predicted to be secreted,Predicted_to_be_secreted
ALDH1A3,Nucleoplasm,Nucleoplasm
ALDH1A3,Cytosol,Cytosol
H2AC20,Nucleoplasm,Nucleoplasm
H2AC21,Nucleoplasm,Nucleoplasm
POU6F1,Nuclear bodies,Nuclear_bodies
POU6F1,Actin filaments,Actin_filaments
TM2D3,Nucleoplasm,Nucleoplasm
TM2D3,Cytosol,Cytosol
TSSC4,Nucleoplasm,Nucleoplasm
TSSC4,Cytosol,Cytosol
TACSTD2,Plasma membrane,Plasma_membrane
TACSTD2,Nucleoli,Nucleoli
TACSTD2,Vesicles,Vesicles
SIX6,Nucleoplasm,Nucleoplasm
PRKD1,Plasma membrane,Plasma_membrane
PRKD1,Cytosol,Cytosol
ZDHHC23,Nucleoplasm,Nucleoplasm
S100A7A,Cytosol,Cytosol
SLIT3,Cell Junctions,Cell_Junctions
SLIT3,Predicted to be secreted,Predicted_to_be_secreted
EFNA5,Cytosol,Cytosol
EFNA5,Vesicles,Vesicles
H1-5,Nucleoplasm,Nucleoplasm
PKP3,Cell Junctions,Cell_Junctions
PKP3,Nucleoplasm,Nucleoplasm
MAP7D2,Nucleoplasm,Nucleoplasm
MAP7D2,Cytosol,Cytosol
CSF1,Plasma membrane,Plasma_membrane
CSF1,Nuclear bodies,Nuclear_bodies
CSF1,Predicted to be secreted,Predicted_to_be_secreted
ACTRT3,Nucleoplasm,Nucleoplasm
ACTRT3,Acrosome,Acrosome
ACTRT3,Centrosome,Centrosome
ACTRT3,Cytosol,Cytosol
PLA2G6,Plasma membrane,Plasma_membrane
PLA2G6,Microtubules,Microtubules
PLA2G6,Nuclear speckles,Nuclear_speckles
MAML2,Nuclear bodies,Nuclear_bodies
MAML2,Cytosol,Cytosol
MAML2,Nucleoplasm,Nucleoplasm
SS18L1,Cytosol,Cytosol
SS18L1,Nucleoplasm,Nucleoplasm
TOP1MT,Mitochondria,Mitochondria
COPB2,Endoplasmic reticulum,Endoplasmic_reticulum
COPB2,Golgi apparatus,Golgi_apparatus
THAP7,Nucleoplasm,Nucleoplasm
THAP7,Nuclear membrane,Nuclear_membrane
THAP7,Vesicles,Vesicles
KNTC1,Cytosol,Cytosol
KNTC1,Plasma membrane,Plasma_membrane
CCR10,Endoplasmic reticulum,Endoplasmic_reticulum
WDR27,Nucleoplasm,Nucleoplasm
TXNRD2,Cytosol,Cytosol
TXNRD2,Mitochondria,Mitochondria
FOXO4,Nuclear speckles,Nuclear_speckles
FOXO4,Cytosol,Cytosol
POU3F2,Nucleoplasm,Nucleoplasm
FOXD4L1,Nucleoplasm,Nucleoplasm
FOXD4L1,Cytosol,Cytosol
TMEM255B,Nucleoplasm,Nucleoplasm
HDDC3,Cytosol,Cytosol
HDDC3,Nucleoplasm,Nucleoplasm
ZFP1,Nucleoplasm,Nucleoplasm
CEND1,Mitochondria,Mitochondria
C6ORF58,Cytosol,Cytosol
C6ORF58,Vesicles,Vesicles
C6ORF58,Nucleoplasm,Nucleoplasm
C6ORF58,Predicted to be secreted,Predicted_to_be_secreted
DUSP8,Cytosol,Cytosol
SOCS3,Cytosol,Cytosol
SOCS3,Plasma membrane,Plasma_membrane
SPEM2,Golgi apparatus,Golgi_apparatus
SLITRK6,Plasma membrane,Plasma_membrane
PIWIL3,Cytoplasmic bodies,Cytoplasmic_bodies
XPOT,Nucleoplasm,Nucleoplasm
XPOT,Cytosol,Cytosol
STING1,Cytosol,Cytosol
STING1,Basal body,Basal_body
STING1,Nucleoplasm,Nucleoplasm
STING1,Primary cilium,Primary_cilium
STING1,Vesicles,Vesicles
PDE4B,Golgi apparatus,Golgi_apparatus
PDE4B,Cytosol,Cytosol
PDE4B,Primary cilium,Primary_cilium
SNN,Cytosol,Cytosol
NELL2,Vesicles,Vesicles
NELL2,Predicted to be secreted,Predicted_to_be_secreted
KRBA2,Nucleoplasm,Nucleoplasm
MED12,Nucleoplasm,Nucleoplasm
SEPTIN9,Actin filaments,Actin_filaments
SEPTIN9,Cytokinetic bridge,Cytokinetic_bridge
SEPTIN9,Microtubules,Microtubules
SEPTIN9,Primary cilium,Primary_cilium
PRSS55,Acrosome,Acrosome
ODF4,Principal piece,Principal_piece
FOXD4L4,Nucleoplasm,Nucleoplasm
CDCA2,Nucleoplasm,Nucleoplasm
CDCA2,Cytosol,Cytosol
RALYL,Nucleoplasm,Nucleoplasm
AMER1,Nuclear bodies,Nuclear_bodies
AMER1,Plasma membrane,Plasma_membrane
AMER1,Vesicles,Vesicles
ZBTB40,Nucleoplasm,Nucleoplasm
H2BC21,Nucleoplasm,Nucleoplasm
H2BC21,Cytosol,Cytosol
SEPTIN5,Actin filaments,Actin_filaments
SEPTIN5,Cytosol,Cytosol
SEPTIN5,Nucleoplasm,Nucleoplasm
EIF4ENIF1,Vesicles,Vesicles
EIF4ENIF1,Cytosol,Cytosol
LRRC26,Plasma membrane,Plasma_membrane
LRRC26,Nucleoli fibrillar center,Nucleoli_fibrillar_center
APOBR,Plasma membrane,Plasma_membrane
APOBR,Centrosome,Centrosome
DDX53,Nucleoplasm,Nucleoplasm
DDX53,Cytosol,Cytosol
DDX53,Nucleoli,Nucleoli
ATL3,Endoplasmic reticulum,Endoplasmic_reticulum
NDUFA12,Mitochondria,Mitochondria
NDUFA12,Cytosol,Cytosol
SATL1,Nucleoplasm,Nucleoplasm
SATL1,Cytosol,Cytosol
OSBP2,Cytosol,Cytosol
PRR23B,Microtubules,Microtubules
PRR23B,Nucleoplasm,Nucleoplasm
PRR23B,Cytokinetic bridge,Cytokinetic_bridge
PRR23B,Cytosol,Cytosol
PRR23B,Mitotic spindle,Mitotic_spindle
PRR23B,Nuclear bodies,Nuclear_bodies
APOO,Mitochondria,Mitochondria
APOO,Cytosol,Cytosol
APOO,Predicted to be secreted,Predicted_to_be_secreted
PRR16,Nucleoplasm,Nucleoplasm
PRR16,Cytosol,Cytosol
PRR16,Midbody,Midbody
DRD1,Plasma membrane,Plasma_membrane
DRD1,Cytosol,Cytosol
TMEM186,Cell Junctions,Cell_Junctions
RBM33,Nucleoplasm,Nucleoplasm
ARMCX2,Mitochondria,Mitochondria
ARMCX2,Nucleoplasm,Nucleoplasm
BTBD6,Nucleoplasm,Nucleoplasm
H1-10,Nucleoli,Nucleoli
H1-10,Nucleoplasm,Nucleoplasm
H1-10,Mitotic chromosome,Mitotic_chromosome
H1-10,Nucleoli rim,Nucleoli_rim
RBM43,Nucleoli,Nucleoli
RBM43,Nucleoplasm,Nucleoplasm
SUMO3,Nuclear bodies,Nuclear_bodies
SUMO3,Nucleoplasm,Nucleoplasm
SUMO3,Calyx,Calyx
SUMO3,Connecting piece,Connecting_piece
SUMO3,Flagellar centriole,Flagellar_centriole
IMMP2L,Mitochondria,Mitochondria
IMMP2L,End piece,End_piece
IMMP2L,Flagellar centriole,Flagellar_centriole
IMMP2L,Principal piece,Principal_piece
TCEAL2,Nuclear speckles,Nuclear_speckles
TCEAL2,Cytosol,Cytosol
DMRTC1B,Nucleoplasm,Nucleoplasm
DMRTC1B,Intermediate filaments,Intermediate_filaments
JAG2,Vesicles,Vesicles
FMNL1,Cytosol,Cytosol
NUTM2A,Nuclear bodies,Nuclear_bodies
